Book Name,Author's Name,Publisher's Name
Hotel Management Entrance Guide,Parkash,S.Chand & Company Pvt. Ltd.
3 Edge Advantage Series - Hotel Management Practice Sets,Ayush Gupta,Arihant Publications
Hotel Management & Hospitality Administration Entrance Examinations,KPH Editorial Team,Khurana Publishing House
Hotel Managment & Hospitality Administration,GKP,G.K. Publications Pvt. Ltd.
HOTEL MANAGEMENT-JEE,Dr. CHANDRESH AGRAWAL,Priyanka Prakashan
Maharashtra Hotel Management-CET,Dr. CHANDRESH AGRAWAL,Priyanka Prakashan
Hotel Management: NCHMCT-JEE (Joint Entrance Examination) Guide (Popular Master Guide),RPH Editorial Board,Ramesh Publishing House
HOTEL MANAGEMENT - JEE ENTRANCE EXAM,PRAVIN SINGH,Cosmos bookhive Pvt. Ltd.
Hotel Management Entrance Exam Guide,Gladvin Rego,Cengage Publications
GGSIPU: Bachelor of Hotel Management and Catering Technology Entrance Test Guide,RPH Editorial Board,Ramesh Publishing House
Hotel Management Exam Guide,LearnX,LearnX
STUDY NOTES MATERIALS HOTEL MANAGEMENT ENTRANCE EXAM QUANT+ LR +DI + ENG MODEL SOLVED PAPERS,Sourav Sir's Classes,Sourav Sir's Classes
Guide for Hotel Management 2019,Arihant Experts,Arihant Publications
NCHMCT-JEE: National Council for Hotel Management and Catering Technology Joint Entrance Exam,RPH Editorial Board,Ramesh Publishing House
BHU Banaras Hindu University L.L.B Entrance Exam,Arihant Experts,Arihant Publications
Self Study Guide CLAT,Arihant Experts,Arihant Publications
A Comprehensive Guide for CLAT,"Padma Parupudi (Author), Sirisha Naresh",Unique Publishers India Pvt. Ltd.
Common Law Admission Test (CLAT),Dr. Lal & Misra,Upkar Prakashan
UPKAR PRAKASHAN COMMON LAW ADMISSION TEST (CLAT) (FOR UNDER-GRADUATE PROGRAMME),Dr. Lal|Misra,Upkar Prakashan
Maharashtra CLET 2018 for 3 Years Course,Arihant Expert (,Arihant Publications
Bright's Solved Papers of CLAT (Common Law Admission Test) & AILET (All India Law Entrance Test),"Himanshu Bangia (Author), Lovedeep Bangia",The Bright Law House
Universal's CLAT Solved Papers | Common Law Admission Test 2019,N/A,Universal Law Publishing
CLAT - 2015 Legal Aptitude,"Gulshan Naqvee (Author), Rajneesh Roshan",Diamond Pocket Books Pvt. Ltd.
Universal's Guide to CLAT & LL.B Entrance Examination 2019-20,Manish Arora,Universal Law Publishing
Pearson's Legal Awareness & Legal Reasoning For CLAT & Other Law Entrance Examinations 2018 by A. P. Bhardwaj,A P Bhardwaj,Pearson Education Limited
Eastern Book Company's Legal Aptitude for CLAT & LL.B Entrance Exams,Aniruddha Bhattacharya & Utkarsh Jaiswal,Eastern Book Company
Singhal's S. S. Guide for Delhi University's LL.B Entrance Examination 2019,Anand P. Mishra,Singhal Law Publication
GKP's CLAT & AILET Chapterwise Solved Papers 2008-2015,Gautum Puri,G.K. Publications Pvt. Ltd.
Aarti & Co.'s Guidelines for MH-CET / CLAT (LLB / BLS / BBA-LLB) Entrance Exam 2019 | MH-CET Law 2019,Cyrus J. Pooniwala,Assorted Editorial
CL Media's CLAT & AILET Chapter-Wise Solved Papers (2008-2018),Gautum Puri,CL Media Pvt. Ltd.
A Classbook of Botany,A.C. Dutta,Oxford University Press
CBSE AIPMT Physics in 40 Days,S.B. Tripathi,Arihant Publications
Physics for AIPMT Vol2,C.P.Singh,Cengage Publications
Physics for AIPMT Vol1,C.P.Singh,Cengage Publications
Chapterwise Topicwise Questions - Solutions,Digvijay Singh,Arihant Publications
Trueman's Elementary Biology Vol1,K.N. Bhatia,Trueman Publication
Trueman's Elementary Biology Vol2,K.N. Bhatia,Trueman Publication
A Textbook of Organic Chemistry for AIPMT and all other Medical Entrance Examination,"OP Tandon, AK Virmani",G.R. Bathla Publications Pvt. Ltd.
Biology for AIPMT Vol1,"Tripathi, Verma, Dixit",Cengage Publications
Biology for AIPMT Vol2,"Tripathi, Verma, Dixit",Cengage Publications
"Objective Chemistry for AIPMT, AIIMS and Other PMTs 2015",MTG Editorial Board,MTG Learning Media Pvt. Ltd.
MTG NCERT Based Complete AIPMT Guide: Physics for AIPMT,MTG Editorial Board,MTG Learning Media Pvt. Ltd.
MTG NCERT Based Complete AIPMT Guide: Maths for AIPMT,MTG Editorial Board,MTG Learning Media Pvt. Ltd.
MTG NCERT Based Complete AIPMT Guide: Chemistry for AIPMT,MTG Editorial Board,MTG Learning Media Pvt. Ltd.
Concepts of Physics Vol I and II,H.C.Verma,Bharati Bhawan Publishers & Distributors
40 days chemistry for NEET,Sudhanshu Thakur,Arihant Publications
Concise Inorganic Chemistry,J.D Lee,Wiley India Pvt. Ltd.
pradeep objective physics,"Dr K.L. Gomber
K.L. Gogia",Pradeep Publications
Dinesh Companion Chemistry Vol1,S.K Malhotra,S. Dinesh & Co.
Dinesh Companion Chemistry Vol2,S.K Malhotra,S. Dinesh & Co.
A Textbook Of physical chemistry For AIPMT And All Other Medical Examinations,"Dr. O.P. Tandon
Dr. A.S. Singh",G.R. Bathla Publications Pvt. Ltd.
Objective NCERT at your fingertips,MTG Learning Media,MTG Learning Media Pvt. Ltd.
A Textbook Of Organic chemistry For AIPMT And All Other Medical Examinations,"Dr. O.P. Tandon
Dr. A.K. Virmani",G.R. Bathla Publications Pvt. Ltd.
A Textbook Of Inorganic chemistry For AIPMT And All Other Medical Examinations,"Dr. O.P. Tandon
",G.R. Bathla Publications Pvt. Ltd.
Trueman's Objective Biology vol 1 and vol 2,"Dr. Tyagi
Dr. Goyal",Trueman Publication
A Textbook Of Organic chemistry For AIPMT And All Other Medical Examinations,Dr. O.P. Tandon,G.R. Bathla Publications Pvt. Ltd.
GRB Objective Biology,"R.K.Pillai
Malik Naresh
A.B.Sinha",G.R. Bathla Publications Pvt. Ltd.
Pradeep's Objective Biology vol 1 And vol 2,"Dr. Subroto Biswas
Dr. Aman Biswas",Pradeep Publications
Objective Botany,S.Ansari,Shri Balaji Publications
pradeep objective Chemistry,"S.N. Dhawan
S.C. Kheterpal
J.R. Mehta",Pradeep Publications
A to Z Physics for NEET: Class XII,Cengage India,Cengage Publications
ORGANIC FOR DOCTORS (NEET/AIIMS/MEDICAL ENTRANCE EXAM (Books with Video Lectures by Er Dushyant Kumar) Part 1 & 2 (English)(EDITION-2018),Er Dushyant Kumar,Helios Educore Pvt. Ltd.
Physics Now Easy For Doctors-12th (Part 1) (Neet/aiims/medical Entrance Exam) (Books With Video Lectures By Er Dushyant Kumar) Part A+B (English) (Licensed Product) with 2 Disc(EDITION-2018),Er Dushyant Kumar,Helios Educore Pvt. Ltd.
Problems in Physical Chemistry for NEET & AIIMS 5TH Edition (2019-20) Session,Narander Awasthi,Shri Balaji Publications
Objective NCERT at your FINGERTIPS for NEET-AIIMS - Biology,MTG Editorial Board,MTG Learning Media Pvt. Ltd.
Objective Biology Chapter-wise MCQs for NTA NEET/AIIMS,Disha Experts,Disha Publications
Assertion and Reason for AIIMS and NEET (PCB),"Dr. Ajay Mohan, Vipin Kumar Sharma, Kunal Karn",Altis Vortex Books & Publications
Physics Topic-wise & Chapter-wise DPP (Daily Practice Problem) Sheets for NEET/AIIMS/JIPMER,Disha Experts,Disha Publications
General Knowledge Aptitude and Logical Thinking for AIIMS,Sunil Nain,MTG Learning Media Pvt. Ltd.
"Errorless Physics & Chemistry NEET & AIIMS, 2019 Combo Pack 2019 Session by Universal Book Depot 1960",Universal Book Depot 1960,Universal Books
10 Years Chapter-wise Papers for NEET,"Sanjay Bisht, A. K. Singhal, Rajiv Vijay",Pearson Education Limited
Objective Biology for NEET by Pearson - Vol. 1,Rajiv Vijay,Pearson Education Limited
31 Years' Chapterwise Solutions CBSE AIPMT & NEET Biology,Arihant Expert,Arihant Publications
"ERRORLESS BIOLOGY NEET & AIIMS (Set of 2 Volumes), NTA 2019",Universal Books,Universal Books
22 years AIIMS Chapter-wise Solved Papers (1997-2018) 12th Edition,Disha Experts,Disha Publications
AIIMS Explorer 2018 (17 Years' Solved Papers 2001-2017),MTG Editorial Board,MTG Learning Media Pvt. Ltd.
11 Years' Solved Papers CBSE AIPMT & NEET,Arihant Expert,Arihant Publications
31 Years NEET-AIPMT Chapterwise Solutions - Physics,MTG Editorial Board,MTG Learning Media Pvt. Ltd.
31 Years NEET Chapter-wise & Topic-wise Solved Papers (PCB) (2018 - 1988),Disha Experts,Disha Publications
31 Years' Chapterwise Solutions CBSE AIPMT & NEET Chemistry,Arihant Expert,Arihant Publications
Biology Topic-Wise & Chapter-Wise Daily Practice Problem (DPP) Sheets for NEET/ AIIMS/ JIPMER,Disha Experts,Disha Publications
Aiims Essence 2018-2015 (Volume 1),Pritesh Singh,Jaypee Brothers Medical Publishers Pvt. Ltd.
Review of Physiology,Soumen Manna,Jaypee Brothers Medical Publishers Pvt. Ltd.
NCERT Biology Booster for NEET & AIIMS (2018-2019) Session,S. Ansari,Shri Balaji Publications
25 Years AIIMS Chapterwise Solved Paper Chemistry 2019,Arihant Experts,Arihant Publications
"Objective Physics, Chemistry & Biology Chapter-wise MCQs for NTA NEET/AIIMS/JIPMER",Disha Experts,Disha Publications
Problems in Inorganic Chemistry for NEET/AIIMS (2019-2020 Session),V.K. Jaiswal,Shri Balaji Publications
12 Years' Solved Papers CBSE AIPMT & NEET,Arihant Experts,Arihant Publications
NEET 2019 Biology Guide,Disha Experts,Disha Publications
NEET 2020 - Objective Biology,GKP,G.K. Publications Pvt. Ltd.
Wiley's Chapter-wise Assertion-Reason for AIIMS and Other Competitive Examinations,"Anand Srivastava, Dr. Pravin Kumar Himanshu Agarwal",Wiley India Pvt. Ltd.
AIIMS General Knowledge and Logical Thinking,Team Aim4AIIMS,Altis Vortex Books & Publications
Elementary Problems in Organic Chemistry for NEET/AIIMS By M S CHOUHAN,M S CHOUHAN,Shri Balaji Publications
25 Years AIIMS Chapterwise Solved Paper Physics 2019,Arihant Experts,Arihant Publications
Target AIIMS (UG) 2019 with 8 Solved Papers (2018-14) & 10 Mock Tests,Disha Experts,Disha Publications
"Wiley's Objective Biology for NEET, 2019ed",Himanshu Agarwal,Wiley India Pvt. Ltd.
Objective Chemistry Chapter-wise MCQs for NTA JEE Main/BITSAT/NEET/AIIMS,Disha Experts,Disha Publications
Objective Biology NEET & AIIMS (Set of 2 Volumes) (2019-2020)Session by Dr. Ali,Ali,Sasa Publication
Objective Physics for NEET - Vol. 2,D C Pandey,Disha Publications
Super 10 Mock Tests for NTA NEET 2019,Disha Experts,Disha Publications
Objective Physics Chapter-wise MCQs for NTA JEE Main/BITSAT/NEET/AIIMS,Disha Experts,Disha Publications
31 Years NEET-AIPMT Chapterwise Solutions - Biology,MTG Editorial Board,MTG Learning Media Pvt. Ltd.
"NEET/AIIMS PCB - Daily Practice Problem (DPP) Sheets By Career Point, Kota",Career Point Kota,CP Editorial
Objective Chemistry for NEET - Vol. 2,Arihant Experts,Arihant Publications
Objective Physics for NEET - Vol. 2,Arihant Experts,Arihant Publications
NEET 2020 - Class XI-XII Chapter-wise Solved Papers 2005-2017 (Includes 2018 & 19 Solved Papers ),GKP,G.K. Publications Pvt. Ltd.
Objective Physics for NEET - Vol. 1,D C Pandey,Arihant Publications
NEET Prep Guide 2019 with free Revision Points Booklet,Arihant Expert,Arihant Publications
Complete NEET Guide Chemistry,MTG Editorial Board,MTG Learning Media Pvt. Ltd.
"10 Full Syllabus Mock Tests for NEET By Career Point, Kota",Career Point Kota,CP Editorial
"NCERT Xtract – Objective Biology for NEET, AIIMS, Class 11/ 12, JIPMER",Disha Experts,Disha Publications
Complete NEET Guide Physics,MTG Editorial Board,MTG Learning Media Pvt. Ltd.
Test Series for NEET: Set of 10 NEET Tests in Booklet form,"Dr. Anand Sharma, Dr. Prashant Sharma, Satyajeet Kumar, Ashutosh Bindal, Arvind Tiwari Dr. Manish Sharma",Altis Vortex Books & Publications
Complete NEET Guide Biology,MTG Editorial Board,MTG Learning Media Pvt. Ltd.
12 Years' Solved Papers CBSE AIPMT & NEET,Arihant Experts,Arihant Publications
32 Years NEET Chapter-wise & Topic-wise Solved Papers PHYSICS (2019 - 1988) 14th Edition,Disha Experts,Disha Publications
Objective Physics for NEET - Vol. 1,Arihant Experts,Arihant Publications
40 Days Crash Course for NEET Chemistry,Arihant Experts,Arihant Publications
Genetics and Reproduction for NEET & Other Medical Entrance Examinations,"Subroto Biswas, Aman Biswas",McGraw-Hill Education
Objective Chemistry for NEET by Pearson - Vol. 1,A. K. Singhal,Pearson Education Limited
AIIMS Explorer Paperback – 30 Jul 2018,MTG Editorial Board,MTG Learning Media Pvt. Ltd.
Target AIIMS JIPMER Paperback – 2015,Kumar,Wolters Kluwer India Pvt. Ltd
AIIMS MBBS Entrance-Dr.Ajay Mohan (Second Edition),Dr.Ajay Mohan,CBS Publishers & Distributors
"AIIMS (VOL.1), 12th Edition Paperback – 13 Jun 2017",Ashish gupta and amit tripati,Aditya Publication
General Knowledge Aptitude and Logical Thinking for AIIMS Paperback – 29 Dec 2017,Sunil Nain,MTG Learning Media Pvt. Ltd.
Aim4AIIMS Biology PrepGuide Perfect Paperback – 2017,"Dr. Ajay Mohan (Author), Dr. Ajay Dogra (Editor)",Altis Vortex Books & Publications
AIIMS Assertion & Reason (Second Edition: 2017) Paperback – 2017,Ajay Dogra,Altis Vortex Books & Publications
Aim4AIIMS Physics PrepGuide Paperback – 2017,"Ekansh Goyal, Aryan Raj singh, Rinku Sarmah Vasishta Polisetty",Altis Vortex Books & Publications
Aim4AIIMS Chemistry PrepGuide Paperback – 2017,Aim4AIIMS (Author),Altis Vortex Books & Publications
15 Years' JIPMER Solved Papers Paperback – 2017,by Arihant Experts (Author),Arihant Publications
AIIMS MBBS Entrance Exam 15 Years Solved Papers (2004-2018) & 5 Model Papers (With Explanation) 2019 Paperback – 2019,"JBC Press Editorial Team (Author)
",JBC Press Editorial Board
JIPMER Chapterwise Solutions 9 Years Paperback – 24 Sep 2018,"MTG Editorial Board (Author)
",MTG Learning Media Pvt. Ltd.
"Guide to English Proficiency, Logic & Quantitative Reasoning for JIPMER",Disha PUBLICATION,Disha Publications
JIPMER (Puducherry) Medical Entrance Examination Previous Years' Papers (Solved) Paperback – 24 Apr 2018,RPH Editorial Board (Author),Ramesh Publishing House
Jipmer 20 Authors Last 10 Years'Jipmer Question With Answers And Explanations (2006-May 2015) Paperback – 2016,Abirami,Jaypee Brothers Medical Publishers Pvt. Ltd.
Aiims Essence 2018-2015 (Volume 1) Paperback – 2019,Pritesh Singh,Jaypee Brothers Medical Publishers Pvt. Ltd.
AIIMS and All India PG Medical Entrance Examinations : Review Questions 2002-2015,Kumar.A,CBS Publishers & Distributors
Medical Literature Company MBBS Entrance Examinations Jipmer(Collection of Questions,N/A,Medical Literature Company
JIPMER Staff Nurse Exam Books Paperback – 1 Jan 2016,"M.D.,|Priya Jegannathan, DNP Dr. Joseph AliyatH",Sura Books Pvt. Ltd.
JIPMER – Nursing Officer (Group B) Study Materials & Objective Type Q&APaperback – 2018,"Dr.K.Sathish Kumar (Author), - (Translator)",Sakthi Publishing House
Nest EXAM GUIDE 2019,Panel of Authors,Sura Books Pvt. Ltd.
JNU BA (Hons.) in Foreign Languages Entrance Examination Guide,N. Pandey,Ramesh Publishing House
"JNU: BA (Hons.) Foreign Languages Entrance Examination (Cluster-1, 2 & 3) Previous Years’ Papers (Solved)",RPH Editorial Board,Ramesh Publishing House
"Biotechnology for CSIR - NET, SET, GATE, JNU, AIIMS, JAM",Vinita Thakur,Himalaya Publishing House
JNU Previous Year Solved Paper B.A (HONS.) Foreign Languages,Arihant Experts,Arihant Publications
Goyals IIT Foundation Course Physics 6,V.K.Sally,Goyal Brothers Prakashan
Goyal's IIT Foundation Course Chemistry Class - 6,Achata Ramakrishna,Goyal Brothers Prakashan
IIT Foundation & Olympaid Explorer Mathematics Class - 6,"M Gurunadham, Y.S. Srinivasu",Brain Mapping Academy
Goyals IIT Foundation Course Mathematics 6,V.k .Raman,Goyal Brothers Prakashan
IIT Foundation Course Physics 7,V.K.Sally,Goyal Brothers Prakashan
Trishna's Pearson IIT Foundation Series Physics Class - 7,Trishnas,Pearson Education Limited
IIT Foundation & Olympaid Explore Chemistry 7,E.V.S.S. Lakshmi,Brain Mapping Academy
Goyal's IIT Foundation Course Chemistry Class - 7,Achata Ramakrishna,Goyal Brothers Prakashan
Trishna's The IIT Foundation Series Chemistry Class - 7,Trishnas,Pearson Education Limited
Trishna's Pearson IIT Foundation Series Chemistry Class - 7,Trishnas,Pearson Education Limited
IIT Foundation & Olympaid Explorer Mathematics Class - 7,"M Gurunadham, Y.S. Srinivasu",Brain Mapping Academy
IIT Foundation & Olympaid Explore Mathematics 7,N/A,Brain Mapping Academy
Goyals IIT Foundation Course Mathematics 7,V.k .Raman,Goyal Brothers Prakashan
Trishna's Pearson IIT Foundation Series Mathematics Class - 7,Trishnas,Pearson Education Limited
Trishna's The IIT Foundation Series Mathematics Class - 7,Trishnas,Pearson Education Limited
IIT Foundation & Olympaid Explorer Physics Class - 8,E.V.S.S. Lakshmi,Brain Mapping Academy
Goyals IIT Foundation Course Physics 8,V.K.Sally,Goyal Brothers Prakashan
IIT Foundation Physics 6e 8,Trishnas,Pearson Education Limited
Trishna's Pearson IIT Foundation Series Physics Class - 8,Trishnas,Pearson Education Limited
IIT Foundation & Olympiad Explorer Chemistry Class - 8,E.V.S.S. Lakshmi,Brain Mapping Academy
IIT Foundation & Olympaid Explore Chemistry 8,E.V.S.S. Lakshmi,Brain Mapping Academy
Goyal's IIT Foundation Course Chemistry Class - 8,Achata Ramakrishna,Goyal Brothers Prakashan
Trishna's The IIT Foundation Series Chemistry Class - 8,Trishnas,Pearson Education Limited
Trishna's Pearson IIT Foundation Series Chemistry Class - 8,Trishnas,Pearson Education Limited
IIT Foundation & Olympaid Explorer Mathematics Class - 8,"M Gurunadham, Y.S. Srinivasu",Brain Mapping Academy
IIT Foundation & Olympaid Explore Mathematics 8,N/A,Brain Mapping Academy
Goyals IIT Foundation Course Mathematics 8,V.k .Raman,Goyal Brothers Prakashan
Trishna's Pearson IIT Foundation Series Mathematics Class - 8,Trishnas,Pearson Education Limited
Trishna's The IIT Foundation Series Mathematics Class - 8,Trishnas,Pearson Education Limited
IIT Foundation Mathematics 6e 8,Trishna Knowledge Systems,Pearson Education Limited
IIT Foundation & Olympaid Explorer Physics Class - 9,E.V.S.S. Lakshmi,Brain Mapping Academy
Goyals IIT Foundation Course Physics-9,V.K.Sally,Goyal Brothers Prakashan
IIT Foundation Physics 6e 9,Trishnas,Pearson Education Limited
Trishna's Pearson IIT Foundation Series Physics Class - 9,Trishnas,Pearson Education Limited
IIT Foundation & Olympiad Explorer Chemistry Class - 9,E.V.S.S. Lakshmi,Brain Mapping Academy
Goyal's IIT Foundation Course Chemistry Class - 9,Achata Ramakrishna,Goyal Brothers Prakashan
Trishna's The IIT Foundation Series Chemistry Class - 9,Trishnas,Pearson Education Limited
Trishna's Pearson IIT Foundation Series Chemistry Class - 9,Trishnas,Pearson Education Limited
IIT Foundation & Olympaid Explorer Mathematics Class - 9,"M Gurunadham, Y.S. Srinivasu",Brain Mapping Academy
Goyals IIT Foundation Course Mathematics 9,V.k .Raman,Goyal Brothers Prakashan
Trishna's Pearson IIT Foundation Series Mathematics Class - 9,Trishnas,Pearson Education Limited
Trishna's The IIT Foundation Series Mathematics Class - 9,Trishnas,Pearson Education Limited
IIT Foundation Mathematics 6e 9,Trishna Knowledge Systems,Pearson Education Limited
IIT Foundation & Olympaid Explorer Physics Class - 10,E.V.S.S. Lakshmi,Brain Mapping Academy
Goyals IIT Foundation Course Physics-10,V.K.Sally,Goyal Brothers Prakashan
IIT Foundation Physics 6e 10,Trishnas,Pearson Education Limited
Trishna's Pearson IIT Foundation Series Physics Class - 10,Trishnas,Pearson Education Limited
IIT Foundation & Olympiad Explorer Chemistry Class - 10,E.V.S.S. Lakshmi,Brain Mapping Academy
Chemistry IIT Foundation & Olympiad Explorer Class - 10,E.V.S.S. Lakshmi,Brain Mapping Academy
IIT Foundation Course Chemistry-10,Achata Ramakrishna,Goyal Brothers Prakashan
Trishna's The IIT Foundation Series Chemistry Class - 10,Trishnas,Pearson Education Limited
Trishna's Pearson IIT Foundation Series Chemistry Class - 10,Trishnas,Pearson Education Limited
IIT Foundation Chemistry 6e 10,Trishna Knowledge Systems,Pearson Education Limited
IIT Foundation & Olympaid Explorer Mathematics Class - 10,"M Gurunadham, Y.S. Srinivasu",Brain Mapping Academy
Goyals IIT Foundation Course Mathematics 10,V.k .Raman,Goyal Brothers Prakashan
Trishna's Pearson IIT Foundation Series Mathematics Class - 10,Trishnas,Pearson Education Limited
Trishna's The IIT Foundation Series Mathematics Class - 10,Trishnas,Pearson Education Limited
IIT Foundation Mathematics 6e 10,Trishna Knowledge Systems,Pearson Education Limited
A Treatise On Basic Algebra 3rd Ed 2012,Sobhakar Ganguly,Academic Publishers
Linear Algebra Including Bollean Algebra 2nd Ed 2017,Bidyut Guha Thakurata,Academic Publishers
Clssical Algebra 2nd Ed 2016,Joydeep Chhakraborty,Academic Publishers
Fundamentals Of Abstract Algebra 2nd Ed 2015,Ranen Bhattacharyya,Academic Publishers
Analytical Geometry 1st Ed 2011,Jyoti Das,Academic Publishers
Advanced Analytical Geometry Of Two And Three Dimensions 2nd Ed 2016,Utpal Chatterjee,Academic Publishers
Mathematical Analysis 5th Ed 2017,Sitansu Bandyopadhyay,Academic Publishers
Application Of Calculus 3rd Ed 2016,Sitansu Bandyopadhyay,Academic Publishers
Topics Application Of Calculus 1st Ed 2015,Subir Kumar Mukherjee,Academic Publishers
Advanced Mathemtical Analysis 4th Ed Revised Reprint 2016,Utpal Chatterjee,Academic Publishers
Introduction To Mathematical Analysls 2nd Ed 2016,Amritava Gupta,Academic Publishers
First Course In Real Analysis 2nd ed 2013,Sudir Kumar Mukherjee,Academic Publishers
Top In Real Analysis 3rd Ed 2015,Subir Kumar Mukherjee,Academic Publishers
Advanced Differential Calculus Of Several variables,Subir Kumar Mukherjee,Academic Publishers
Vector And Tensor Analysis 3rd Ed Revised Reprint 2016,Utpal Chatterjee Nandini Chatterjee,Academic Publishers
Groundwork Of Mathematical Probabiblity And Statistics 7th Ed 2015,Amritava Gupta,Academic Publishers
A Basic Course Of Tensor Analysis 1st Ed 2017,Saumitra Mukhopadhyay,Academic Publishers
Elements of Complex Analysis 2nd Ed Reprint 2015,Sobhakar Ganguly,Academic Publishers
Introduction To Numerical Analysis 3rd Ed Reprint 2016,Amritava Gupta & Subhas Chandra Bose,Academic Publishers
Elements ofMetric Spaces 4th Ed Reprint 2015,MamabendAR Nath Mukherjee,Academic Publishers
Numerical Analysis And Statistical Methods 3rd Ed 2016,Sujata Sinha & Sushama Pradhan,Academic Publishers
Numerical Analysis And Statistical Methods 1st Ed 2013,Sujata Sinha & Sushama Pradhan,Academic Publishers
Analytical Statics 4th Ed 2014,Sujata Sinha & Sushama Pradhan,Academic Publishers
"Avanced Analytical Dynamics,Dynamics of Rigid Body,1st Ed 2016",Utpal Chatterjee,Academic Publishers
"Avanced Analytical Dynamics,Dynamics of Particle, 1st Ed 2014",Utpal Chatterjee,Academic Publishers
Mathematics For Competitive Examinations 5th Edition 2017,"Sandip Jana, Sukhendu Kar, Susanta Mandol",Academic Publishers
Smart Guide To Jeca Mathematics And Aptitude 4th Ed 2014,By A Group of Academic Experts,Academic Publishers
Statistics For Business Decisions 3rd Ed Reprint 2016,J.K.Das,Academic Publishers
Statistics Tools And Techniquse 5th Ed 2017,"P.K.Giri, J.Banerjee",Academic Publishers
Linear Programming With Game Theory 2nd Ed Revised Reprint 2017,Saumitra Mukhopadhyay,Academic Publishers
Discrete Mathemathics 1st Ed 216,D.N.Ghosh,Academic Publishers
Ordinary Differential Equation 1st Ed 2015,J.Das,Academic Publishers
Integral Calculus 1st Ed 2016,Bidyut Guha Thakurata,Academic Publishers
Lecture Course On numerical Analysis 1st Ed Reprint 2013,Amritava Gupta,Academic Publishers
Ordinary Differential Equation In The Complex Domain 1st Ed Reprint 2016,Amritava Gupta,Academic Publishers
Groundwork Of Mathematical Fluid Dynamics 1st Ed 2013,Amritava Gupta,Academic Publishers
Large Scale Complex Network Analysis LSCNA 2015,Dhar & Das,Academic Publishers
Mathematical Theory of Classical Electromagnetic Field 1st Edtn 2018,Amritava Gupta,Academic Publishers
Complete Biology for NEET,Vinay Kumar and S.S. Bhatia,McGraw-Hill Education
Frank ISC Maths paper Class - 12,N/A,Frank Brothers & Co.
Satya Prakash's Physics (Part 1 & 2) Class XI,Satya Prakash,V K Global Publications Pvt. Ltd.
ISC Practical Chemistry XI,KL Chugh,Kalyani Publishers
ISC Chemistry ( General and Physical Chemistry ) For Class - XI Part - II,KL Chugh,Kalyani Publishers
ISC Biology,N/A,Oswal Publications
CHEMISTRY VOLUME II FOR CLASS XII 405 pages,DR. N.K. VERMA,Laxmi Publications Pvt. Ltd.
ISC Chemistry: Organic Chemistry Part 2 - Vol. 2 (Class 12)-K.L. Chugh,KL Chugh,Kalyani Publishers
Physical Chemistry by KL Chugh,KL Chugh,Kalyani Publishers
A Complete Course in ISC Physics Vol-1 Class 12,"V.P.Bhatnagar,Ashok Kumar Chawla",Pitambar Publishing Company Pvt. Ltd.
Fundamentals of Physics,"KL Gomber, KL Gogia",Pradeep Publications
ISC PHYSICS CLASS XII,K.N.SHARMA,Kalyani Publishers
Modern ABC of Physics 12,Satish K Gupta,MBD Group
Physics class XII,"Pijush Kanti Maiti, Mrinal Kanti Dwari, Alakesh Majumdar",Chhaya Prakashani Pvt. Ltd.
srijan isc biology class 12,N/A,Srijan Publishers Pvt. Ltd.
Maths Edge Class 6,Smita Gupta,Oxford University Press
New Millenium Science Super Simplified Biology,Prof. K. Kumar,Dinesh Publication
ISC Biology – 12,N/A,Shri Balaji Publications
ISC Chemistry – 12,N/A,Shri Balaji Publications
Sri balaji ISC Biology A text book for class XIIth,DR S.C Tripathi,Shri Balaji Publications
Comprehensive physics,Narinder Kumar,Laxmi Publications Pvt. Ltd.
Pitambar A Complete Course In I.S.C. Physics For Class-12,"V. P. Bhatnagar, Ashok Chawla",Pitambar Publishing Company Pvt. Ltd.
Cambridge Primary Mathematics Learner's Book Class - 5,Emma Low,Cambridge University Press
Cambridge Primary Mathematics Games Book-5,Emma Low,Cambridge University Press
Cambridge Primary Science Skill Builder - 6,"Fiona Baxter, Liz Dilley",Cambridge University Press
Cambridge Primary Science Challenge-6,"Fiona Baxter, Liz Dilley",Cambridge University Press
Cambridge Primary Mathematics Learner's Book Class - 6,Emma Low,Cambridge University Press
Cambridge Primary Mathematics Games Book-6,Emma Low,Cambridge University Press
Cambridge Checkpoint Science Coursebook - 9,Mary Jones,Cambridge University Press
Cambridge Checkpoint Mathematics Practicebook - 9,"Greg Byrd,LynnByrd",Cambridge University Press
Cambridge Checkpoint Mathematics Workbook - 9,"Mary Jones,Diane Fellowers-Freeman",Cambridge University Press
Cambridge Checkpoint Mathematics Coursebook 9,Byrd,Cambridge University Press
Cambridge IGCSE Mathematics Core and Extended,Ric Pimmel Terry Wall,Hodder Education
Oxford IB Diploma Programme: Mathematical Studies Standard Level Course Book: The Only DP Resources A Developed with the IB,Peter Blythe,Oxford University Press
"Oxford IB Diploma Programme: IB Chemistry Course Book: The Only DP Resources A Developed with the IB
","Murphy, Horner,",Oxford University Press
"Oxford IB Study Guides: IB Physics Study Guide: Build Unrivalled Assessment Potential
",Kirk,Oxford University Press
